fecha_fallecimiento,pais,iso3c,n,n_acum
2020-03-19,Peru,PER,3,3
2020-03-20,Peru,PER,2,5
2020-03-21,Peru,PER,1,6
2020-03-22,Peru,PER,1,6
2020-03-23,Peru,PER,1,7
2020-03-24,Peru,PER,3,10
2020-03-25,Peru,PER,3,10
2020-03-26,Peru,PER,6,16
2020-03-27,Peru,PER,6,22
2020-03-28,Peru,PER,3,25
2020-03-29,Peru,PER,12,37
2020-03-30,Peru,PER,11,48
2020-03-31,Peru,PER,18,66
2020-04-01,Peru,PER,12,78
2020-04-02,Peru,PER,13,91
2020-04-03,Peru,PER,30,121
2020-04-04,Peru,PER,44,165
2020-04-05,Peru,PER,12,177
2020-04-06,Peru,PER,27,204
2020-04-07,Peru,PER,25,229
2020-04-08,Peru,PER,38,267
2020-04-09,Peru,PER,39,306
2020-04-10,Peru,PER,37,343
2020-04-11,Peru,PER,35,378
2020-04-12,Peru,PER,47,425
2020-04-13,Peru,PER,45,470
2020-04-14,Peru,PER,53,523
2020-04-15,Peru,PER,65,588
2020-04-16,Peru,PER,71,659
2020-04-17,Peru,PER,70,729
2020-04-18,Peru,PER,67,796
2020-04-19,Peru,PER,75,871
2020-04-20,Peru,PER,78,949
2020-04-21,Peru,PER,77,1026
2020-04-22,Peru,PER,83,1109
2020-04-23,Peru,PER,89,1198
2020-04-24,Peru,PER,89,1287
2020-04-25,Peru,PER,75,1362
2020-04-26,Peru,PER,95,1457
2020-04-27,Peru,PER,107,1564
2020-04-28,Peru,PER,95,1659
2020-04-29,Peru,PER,80,1739
2020-04-30,Peru,PER,97,1836
2020-05-01,Peru,PER,122,1958
2020-05-02,Peru,PER,117,2075
2020-05-03,Peru,PER,116,2191
2020-05-04,Peru,PER,112,2303
2020-05-05,Peru,PER,148,2451
2020-05-06,Peru,PER,141,2592
2020-05-07,Peru,PER,97,2689
2020-05-08,Peru,PER,109,2798
2020-05-09,Peru,PER,109,2907
2020-05-10,Peru,PER,97,3004
2020-05-11,Peru,PER,98,3102
2020-05-12,Peru,PER,86,3188
2020-05-13,Peru,PER,74,3262
2020-05-14,Peru,PER,92,3354
2020-05-15,Peru,PER,64,3418
2020-05-16,Peru,PER,52,3470
2020-05-17,Peru,PER,47,3517
2020-05-18,Peru,PER,86,3603
2020-05-19,Peru,PER,68,3671
2020-05-20,Peru,PER,72,3743
2020-05-21,Peru,PER,69,3812
2020-05-22,Peru,PER,58,3870
2020-05-23,Peru,PER,50,3920
2020-05-24,Peru,PER,43,3963
2020-05-25,Peru,PER,25,3988
2020-05-26,Peru,PER,9,3997
2020-05-27,Peru,PER,118,4115
2020-05-28,Peru,PER,133,4248
2020-05-29,Peru,PER,142,4390
2020-05-30,Peru,PER,138,4528
2020-05-31,Peru,PER,129,4657
2020-06-01,Peru,PER,136,4793
2020-06-02,Peru,PER,130,4923
2020-06-03,Peru,PER,147,5070
2020-06-04,Peru,PER,136,5206
2020-06-05,Peru,PER,143,5349
2020-06-06,Peru,PER,171,5520
2020-06-07,Peru,PER,107,5627
2020-06-08,Peru,PER,169,5796
2020-06-09,Peru,PER,168,5964
2020-06-10,Peru,PER,208,6172
2020-06-11,Peru,PER,199,6371
2020-06-12,Peru,PER,194,6565
2020-06-13,Peru,PER,194,6759
2020-06-14,Peru,PER,175,6934
2020-06-15,Peru,PER,196,7130
2020-06-16,Peru,PER,204,7334
2020-06-17,Peru,PER,205,7539
2020-06-18,Peru,PER,169,7708
2020-06-19,Peru,PER,181,7889
2020-06-20,Peru,PER,174,8063
2020-06-21,Peru,PER,178,8241
2020-06-22,Peru,PER,163,8404
